id,label,group
7150130,9.979,val
7214735,23.588,val
2236280,16.5565,val
7151704,23.30925,val
2220108,38.03175,val
1540573,9.745,val
2205470,39.50475,val
1529280,5.4045000000000005,val
4029245,11.5415,val
2230319,16.2815,val
2203007,8.19425,val
7202387,20.3605,val
2010815,23.1805,val
2224437,45.3165,val
2212994,7.112,val
2204577,37.89425,val
4029505,9.7995,val
4504452,11.7005,val
2214284,6.75,val
4029342,13.9265,val
1519866,20.07,val
7150048,41.762,val
7208267,27.5255,val
7100267,49.6175,val
4028158,22.413,val
1507325,29.08025,val
4024199,42.3335,val
4031726,18.468,val
7154683,25.873,val
2221062,10.395,val
1542882,16.201999999999998,val
2241714,28.494875,val
1506542,8.958,val
7218374,13.444,val
4506228,25.202,val
7220007,23.39575,val
2240851,16.9735,val
2000970,18.7735,val
2004980,31.506875,val
2238622,24.976,val
2300005,70.588,val
2211269,33.856,val
2220495,25.4305,val
2212141,12.74125,val
4109911,24.9625,val
4030669,45.3205,val
1506184,32.8955,val
7212281,10.188,val
7154313,12.6955,val
1503707,23.9465,val
1100661,57.2985,val
1542835,14.931500000000002,val
1505350,17.561,val
2015856,34.68225,val
7153331,28.8895,val
7007667,5.654249999999999,val
4102501,37.127,val
2212109,16.7325,val
4021917,16.9405,val
2018584,21.950333333333333,val
1518693,56.54625,val
2226275,25.129999999999995,val
2000233,43.7385,val
2237224,8.71725,val
2008072,8.3735,val
4104440,22.24175,val
2210903,4.1745,val
4025753,23.458,val
7100540,14.8755,val
4026056,33.85,val
2228472,19.6385,val
2004253,31.8925,val
4110146,25.184125,val
7219103,14.18125,val
4507245,21.95325,val
7206161,20.92075,val
1505675,4.7025,val
2006873,32.344500000000004,val
4025340,22.670250000000003,val
4320623,45.2775,val
7153389,28.20225,val
8101794,4.148,val
4331193,5.154999999999999,val
2210918,25.47675,val
7150038,16.3475,val
7152407,21.936,val
7153602,28.829,val
4020565,34.4835,val
2213734,42.67,val
4116667,24.23475,val
7216063,8.788499999999999,val
1529864,11.803,val
8102742,42.68925,val
2015994,17.6695,val
1504486,17.7785,val
4021956,44.653,val
4026837,32.294250000000005,val
2007798,21.126,val
2005717,49.3135,val
4330185,12.786,val
4114974,10.073,val
1508877,25.16425,val
2300303,31.1725,val
2008190,16.375,val
7219798,33.689,val
2000526,16.1415,val
9007519,28.42425,val
2220377,37.23725,val
2105861,30.0645,val
4025738,16.9145,val
1517439,51.0115,val
7151548,17.156000000000002,val
7105484,13.177,val
4022443,0.5935,val
7151580,13.439,val
4030071,9.09,val
2202274,12.9335,val
2205964,22.3025,val
7150715,7.1015,val
7010704,48.3335,val
4020866,9.773,val
2004281,17.9985,val
2222819,50.6675,val
7224801,24.1185,val
4029649,39.2615,val
4501918,6.839,val
7151687,12.6965,val
8102301,43.733125,val
4312499,23.29775,val
1503811,36.521,val
2001733,14.568,val
2012758,48.4335,val
4020158,32.7025,val
4024030,21.75225,val
7118163,21.041000000000004,val
2239379,18.578,val
4103314,22.570500000000003,val
8102429,31.1325,val
4023247,5.316,val
7052298,14.37475,val
4113270,7.493499999999999,val
7001920,29.744750000000003,val
2225094,24.9725,val
4102679,47.969,val
7005663,31.052499999999995,val
4107223,25.938,val
4512779,31.04,val
7054722,11.927,val
4024074,16.628,val
2300229,31.962,val
7213303,22.9335,val
4078176,22.48025,val
4030595,23.95075,val
7117403,20.9145,val
7151179,10.102250000000002,train
2227026,19.753,train
2203329,27.4315,train
2212203,15.69425,train
2236620,11.342,train
7151651,51.9415,train
4027030,28.692,train
7151889,4.6045,train
4503998,19.133,train
4022257,30.435,train
1518571,18.8125,train
4027300,40.18525,train
4022949,13.8455,train
4118276,19.6815,train
1501740,33.652,train
4024920,40.2895,train
7204616,24.972,train
4030092,6.966,train
2202631,22.55633333333333,train
4081559,25.8055,train
2238543,13.443,train
7225196,22.499,train
4022669,17.567500000000003,train
4513124,28.8195,train
7100673,14.082999999999998,train
4102296,31.105750000000004,train
4026429,18.879,train
2004822,22.19775,train
4025878,17.98725,train
7210229,16.7625,train
4501736,18.8995,train
2015716,28.96425,train
2225882,23.75725,train
4028530,35.583,train
1507528,41.61375,train
1504915,9.34,train
2227448,26.72,train
2202678,12.7045,train
4513440,41.54475,train
7217012,21.682,train
7226624,13.972375,train
7154306,22.70225,train
4026072,37.60425,train
2015362,18.2055,train
2004468,25.40475,train
2015644,29.41775,train
4025040,55.19175,train
1502621,18.2745,train
7153202,11.758,train
2001231,16.2605,train
7225909,24.664250000000003,train
2200661,20.876,train
2203965,21.71125,train
7002927,8.552,train
2224728,10.974,train
2220592,63.6755,train
7153372,15.9965,train
4025240,17.857,train
7154958,20.2575,train
1529509,17.9535,train
2100608,14.158,train
2222052,14.086,train
7051298,30.36325,train
4020348,13.1525,train
2217702,35.50375,train
2102625,39.89175,train
7110705,28.3015,train
2220726,24.0465,train
4501614,29.486,train
2207604,17.810499999999998,train
7050960,19.87775,train
2234270,25.8195,train
2105860,33.524,train
4023373,12.973,train
2226595,24.463500000000003,train
7150430,9.549,train
2103888,24.5185,train
4513307,10.78225,train
4029800,15.6175,train
1511896,22.422,train
2237894,12.53375,train
2218301,21.597,train
7154970,9.95625,train
2202320,28.38875,train
2203499,22.55275,train
7208263,15.52625,train
4113699,13.146,train
2210061,22.45275,train
4329805,19.8235,train
7220432,17.482,train
2206817,17.761,train
7115490,46.0805,train
1513482,20.1625,train
2220517,40.9285,train
2107396,40.90375,train
4029430,36.9005,train
2215848,18.123,train
2233897,24.261000000000003,train
2240928,23.519,train
2014390,14.3525,train
2234003,30.52475,train
2233064,38.206,train
2223538,9.288,train
2222727,11.54575,train
2006339,16.998,train
8100793,29.478,train
4021744,14.476,train
7154350,7.11,train
4501733,8.267000000000001,train
1507121,13.26925,train
4027599,12.81525,train
4500726,5.079000000000001,train
2008029,17.339,train
4508999,9.2855,train
2200618,9.0595,train
4025749,8.9275,train
2238231,28.805000000000003,train
2101202,7.6655,train
4300069,11.908,train
2229841,22.4375,train
7111220,23.0835,train
7015844,11.2145,train
2020594,18.571,train
2239306,3.1,train
2008187,17.908,train
7011314,8.92275,train
7152190,24.1315,train
2220484,27.244,train
2008638,25.874,train
2230283,37.371,train
2223524,23.176,train
2221948,27.047500000000003,train
7153981,28.082,train
7153465,6.855499999999999,train
2000855,20.71375,train
7103655,32.6075,train
2006291,40.3025,train
7226237,14.704,train
7153897,24.03975,train
4023305,14.6105,train
2210704,15.81025,train
1542738,16.992,train
7226141,22.548250000000003,train
2008339,12.8895,train
8102191,14.284,train
1517357,32.102625,train
4030544,54.3045,train
2105155,12.0955,train
4020910,30.334,train
1504504,44.2375,train
4069448,40.921,train
4085522,7.37175,train
2231315,38.9225,train
7224034,14.753,train
1502585,3.3375000000000004,train
2205776,20.681,train
1502048,27.36,train
7151946,45.892,train
2201484,22.98975,train
4024725,27.4205,train
4021271,38.772,train
7152815,33.681666666666665,train
2203207,36.08175,train
7155002,20.916500000000003,train
4027704,24.322,train
7151509,19.645,train
2017859,17.342,train
2235480,21.462000000000003,train
2203915,24.063,train
2104402,19.258,train
7151193,10.84225,train
1542443,18.0805,train
2202047,43.0725,train
2100154,14.647,train
4505914,25.3685,train
7208134,9.2605,train
7053335,17.387,train
1520022,27.576,train
2222486,14.3475,train
2211798,26.641,train
7150256,27.363,train
1506702,23.2305,train
2228596,8.753,train
2200717,23.003,train
4026085,8.199375,train
7105119,26.16225,train
4022171,39.383,train
2229834,41.17975,train
7202969,32.24275,train
1542572,28.115,train
1507555,11.1675,train
1520682,25.5445,train
2237828,38.74,train
2220232,19.82,train
7218087,22.1195,train
4031003,7.929499999999999,train
4027439,8.702750000000002,train
1542891,34.375499999999995,train
4029162,7.21725,train
2004440,27.2805,train
2100171,42.374750000000006,train
4026498,12.673,train
2239005,24.68,train
4025805,34.085,train
7151212,10.55225,train
4025024,23.70425,train
4311499,27.8925,train
4025342,11.07025,train
7153552,20.67775,train
7207111,10.0635,train
2218657,27.3545,train
2203029,23.40625,train
7053272,12.063,train
7218458,19.401,train
2105648,32.36775,train
7116789,29.0325,train
2206120,20.8395,train
2203161,22.509,train
2238049,32.0595,train
4025732,43.6625,train
2005344,55.82,train
7104280,10.61425,train
7151465,33.4165,train
4112256,17.211,train
1507084,24.76,train
2201974,54.0855,train
7151943,12.371,train
4113696,16.222,train
7206387,33.2145,train
2019190,18.92516666666667,train
4513411,24.13475,train
2202957,10.4065,train
7154430,31.233,train
1506819,38.5275,train
4027251,53.787,train
4022452,19.8605,train
2100178,23.0055,train
2224525,40.6965,train
2105842,35.7615,train
1517227,7.441000000000001,train
4031912,4.6085,train
2011508,48.1975,train
7150070,22.7745,train
7150400,24.314,train
7219427,40.88625,train
1505003,27.536250000000003,train
4061348,23.974,train
4107369,12.963,train
7210353,20.09,train
4027153,50.56683333333333,train
4024865,50.329,train
4027399,13.931250000000002,train
9011066,6.4925,train
7151385,29.9385,train
7012055,26.9635,train
4029563,21.0815,train
8102844,37.4855,train
2202050,15.581,train
4023880,5.059,train
2105103,55.947,train
7054651,13.04375,train
2207775,13.83125,train
4023162,24.5395,train
2239747,16.803,train
4512805,10.6695,train
1514263,46.1575,train
7105056,22.492,train
7204337,50.1955,train
2010982,28.295,train
4021480,38.45575,train
2213800,26.934,train
7051368,20.42,train
4028544,39.574,train
8102080,34.36725,train
2019296,44.4175,train
7016220,19.407,train
2201559,39.27775,train
2206637,22.678,train
1512335,31.9015,train
7214415,15.899500000000002,train
2200294,38.42075,train
2011668,8.620000000000001,train
2007015,3.84,train
2218499,16.623833333333334,train
7152359,10.0965,train
1517981,62.30475,train
4031960,26.398000000000003,train
2232896,20.415,train
2237996,19.872750000000003,train
1512311,10.487,train
1507464,16.29275,train
4026314,9.7165,train
2220965,12.176,train
4030612,24.16475,train
7150911,2.5405,train
7216305,20.378,train
7151619,33.6455,train
2224462,37.7985,train
2010450,47.9825,train
7204424,21.876,train
1505250,49.3835,train
4031747,25.923,train
7118751,15.474,train
4078410,8.7955,train
1512611,29.647,train
1507002,17.286,train
4300592,50.55266666666666,train
2220474,10.2785,train
7151616,31.73825,train
1502391,16.55,train
1503398,15.5925,train
1516423,19.12125,train
2013375,10.162,train
4028684,3.065,train
1504587,21.459,train
2219325,38.325,train
4023082,17.98075,train
2105154,39.8685,train
7152703,12.1625,train
7150468,29.267,train
