id,Eg
4024510,2.62006
2212688,2.27819
4104523,2.20904
1506141,2.72275
4075239,2.6434
2205727,3.13444
4021180,2.11627
1508923,3.73915
2004810,2.87179
4021746,2.96637
2204330,3.1701
1502032,2.51394
4512804,3.61121
2238313,2.48024
7223913,2.19224
2211347,3.3965
4020535,3.52629
4104440,2.78674
2203578,2.7959
4026096,1.96943
7211358,3.06665
2229629,3.09423
2013756,2.30653
7155005,2.82677
7053722,3.38923
4030715,4.99027
2228422,2.38763
7153455,3.63807
2007797,2.5739
7003459,3.02835
1505255,2.96729
2204136,3.59342
2232068,3.38316
2225615,3.84508
7153781,2.87233
1513458,3.17587
7118808,3.40277
4117754,3.55971
1516339,2.65344
2222486,3.68527
1503462,2.08201
4020087,2.65535
2220789,3.15326
7219797,2.33371
7114664,2.97822
7154399,3.23657
2239747,2.82144
2004215,2.97152
4028603,3.27195
4021895,2.4833
4031958,3.44443
4020279,2.19083
2203219,3.13317
2016265,3.01935
4512801,3.73177
4101230,3.89465
4114099,2.1172
1506919,4.1218
7154942,2.98792
4023048,2.7528
2103891,4.28545
2016142,2.14874
7205534,2.975
7211802,4.84265
4084693,2.12954
4021197,3.3468
1504904,1.8226
2226811,3.0003
2205964,2.08198
4070889,2.60008
2241713,2.17621
4114590,3.563
1514727,2.2113
2100237,5.07291
4303310,3.54924
1515178,2.63087
7154572,2.9506
4026069,2.55109
2210004,3.21498
4110047,3.20532
4066630,2.25755
7150997,3.41513
7204488,3.99593
4107245,3.40926
1508616,3.1543
7150907,2.31657
2220902,3.43297
4029229,2.2737
4100491,3.08462
2203713,3.39424
1542738,1.4282
4111748,3.72782
2208474,3.72766
4029917,3.26005
2222771,3.02082
2001326,3.55225
4026508,2.98276
2213142,3.80558
4066216,2.94148
2200098,3.74838
4083913,2.86918
4020225,2.92669
2011836,2.77135
2240909,2.04429
7152179,3.58828
2239005,3.50636
4116828,1.96542
7208660,5.91787
4060590,2.4707
1506467,2.85906
2011668,2.15723
7150808,3.10844
1518432,5.57542
2100526,1.97064
7103655,3.0114
1516154,3.5217
4029295,3.66172
4026037,4.88883
4082792,2.57394
4076629,2.59633
4074270,3.11955
8102127,3.041
1518299,2.7995
2000405,3.2761
4022292,4.10758
7054722,3.98502
1542705,3.3298
1507853,2.62049
4028546,2.42368
2210988,2.78332
1508338,3.29318
7100636,4.47151
1508793,2.47631
1520636,2.81422
4066481,2.66579
2203943,3.30936
4083841,2.1564
