id,label
7103926,37.8365
2016821,35.225
4021822,33.87825
9007519,32.193
2006749,39.22275
4501733,17.0365
2009903,21.3015
2215420,36.006
1542835,29.7695
7100462,15.096
2237962,29.3945
4110318,36.408
4023907,37.261
1503677,55.5285
7102200,33.89625
2102187,44.98725
4026771,28.9915
4020200,34.66775
2202571,37.529
7153503,20.52925
4060121,45.986
2101518,33.8215
2240892,40.2745
2236488,26.845
1503981,43.72
4030849,29.87875
4508872,17.04675
7150430,24.783
7109154,22.488
2234553,23.554
4314482,56.134
4509404,40.14425
7118163,20.4225
4509239,44.816
2104248,31.22475
7154263,32.3595
4501736,29.8275
1512286,43.0335
4504360,27.02925
4025878,21.2265
1516423,40.3845
2233773,20.5255
2204656,35.82625
2200890,15.9365
4306814,32.5795
4111076,24.747
2018818,36.19175
4020683,27.757
7216063,39.3335
4021738,39.3905
1506465,36.39366667
2009805,35.391
4104445,55.5175
2004042,21.618
4021642,36.643
2001894,53.00475
7100673,47.98816667
2238622,24.8135
1502517,41.5905
7152065,42.3595
2201155,38.42375
4025682,30.45375
2228938,36.7405
2200661,43.18575
4110146,32.39125
7150039,42.991
7216305,38.671
4026449,39.701
7007667,28.17375
2232260,36.5525
2230339,28.17775
8100536,36.646
4064264,39.1945
7207562,44.415375
7154609,47.796
2215649,39.1815
2006624,38.24325
2015741,36.2265
2220431,35.567
4323794,40.693
8102844,24.4865
7053847,17.8295
7214756,48.2485
7116536,27.2055
2011898,29.5555
1543502,41.38525
7153389,48.3955
4028869,37.372
4023020,28.60525
2221958,41.3395
7054715,38.203
1513461,38.16625
1504486,24.91075
4020272,33.947
2102120,42.16
4025552,31.011
2208840,28.81475
1501740,41.0355
2004202,31.606
4501922,34.292
2212994,28.2175
2010563,53.3095
2100015,40.443
2210004,18.19425
4079404,30.89725
2217702,18.66125
4021625,37.0665
1518526,41.30325
4065396,21.4065
4343606,53.25275
4511790,22.635
4027538,19.45
2227996,25.5275
2226673,32.3895
4116463,41.6155
2216119,25.84675
4072603,34.4735
2220775,44.151
2008098,35.958
7117150,57.292
4025342,52.036
2018584,26.25925
3500015,24.2375
4028530,36.321
7050960,23.04225
1519911,38.147
2216893,63.51375
4082946,22.53175
1504238,48.10575
7153680,31.7035
2221948,35.57275
4031943,42.8505
1529864,36.6275
4062632,28.98625
1505524,21.84125
2213979,30.482
4320422,39.6125
1543109,58.395
2200964,51.9685
4026133,22.525
4029430,29.0185
7015875,24.371
2233064,67.913
2227929,33.628375
2207595,36.52975
5000172,36.793
2213439,16.902
4113699,23.38925
2239306,43.62425
1541912,33.341
2222052,35.90975
2006821,15.3215
7111220,23.0675
2216564,25.7125
2020594,17.5355
2221974,17.81175
2239747,18.9125
7224801,51.1765
2105152,33.728
2105493,23.938
4029652,36.126125
2212109,18.4985
7114924,16.5955
4106398,25.2505
4025500,28.6865
4026502,36.9795
1513400,25.6585
4066747,32.826
7151287,45.41375
4024619,21.80575
1518693,30.442
1516340,38.4685
7155081,41.387
4028035,21.8355
2230283,29.3985
4023556,30.763625
4023305,32.185
2239453,15.89375
4025693,44.535
4030544,26.003
2014787,16.936
2236620,28.5965
7001849,25.17675
2205191,32.544
7054717,18.9635
2231053,23.26975
1503668,37.226
2239166,46.025
1540621,22.505
2203177,52.211
7154016,20.63925
2212063,20.37225
1511962,38.587
4024505,43.9185
2013804,42.5935
2011375,53.25175
7005663,29.575
4023232,22.8845
2223098,19.082
2226412,40.34775
7151895,31.04325
2232293,30.40725
4021496,16.745
2101042,32.423
1513153,42.505
2225586,47.134
7214435,21.08475
2208433,24.3825
7153372,40.85825
1529301,20.424
4021090,63.4625
2008710,42.587
7150715,45.6045
1506300,41.84475
4511964,13.28775
4029363,36.395
4022530,32.468
4020174,29.8925
7151862,35.244375
1504777,25.9655
2234270,37.405
2202407,39.57575
4111858,40.78275
1520682,33.6795
4116148,42.342
4027439,32.81125
2004440,37.137
2011365,45.286
7153010,30.3685
2221147,17.5565
7150837,52.53816667
7206868,25.713
2200321,43.1695
7207305,35.7765
2009304,30.26525
4030397,19.688
2103888,28.42125
2201315,30.583
1515178,26.447
7207111,44.89
2018031,50.22925
1520189,30.8545
1504629,33.6675
4021255,27.447
2019190,44.8685
2216223,33.70675
4329114,25.62575
4513411,36.15975
4028965,16.1665
4027251,51.569
4026085,27.899
2221243,21.6145
2011508,26.608625
2103674,38.1505
7151335,22.9765
2007976,35.697
2238018,36.4545
2013022,35.3505
2004269,34.4585
4021301,28.605125
7224886,31.7935
4115999,31.8725
7204114,15.6845
4021744,53.126
1502975,19.864
4501872,33.327
4029563,30.302
1504863,57.58025
7022812,34.68325
4060847,34.94325
7011314,20.3135
4512805,40.43175
4031750,17.414
7113454,44.384
2010226,18.6625
2010982,32.77025
7151973,23.6955
2237828,31.785
4022268,39.124
4028544,64.03683333
4026524,46.42625
7116634,32.363
8103227,27.02875
1512335,23.283
4116108,26.147
7152359,34.0535
2232512,24.4
2237996,23.83525
7150329,37.678
1512311,42.899
4026314,26.90625
2225751,49.2115
2005569,28.94175
